Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
63,Drew Lock,28,NYG,QB,2,0,,3,8,37.5,6,0,0,0,0,0,11.1,5,0.8,0.75,2,3,45.8,6.5,1,6,11.11,0,0,0,0,
64,Mitchell Trubisky,30,BUF,QB,5,0,,2,3,66.7,5,0,0,0,0,0,,3,1.7,1.67,2.5,1,70.1,2.2,0,0,0,1.67,1.67,0,0,
65,Riley Dixon,31,DEN,P,8,0,,1,1,100,3,0,0,0,0,0,,3,3,3,3,0.4,79.2,,0,0,0,3,3,0,0,
66,Taysom Hill,34,NOR,TE,4,4,,1,1,100,3,0,0,0,0,0,,3,3,3,3,0.8,79.2,78.6,0,0,0,3,3,0,0,
67,David Montgomery,27,DET,RB,7,7,,1,1,100,3,1,100,0,0,1,100,3,3,23,3,0.4,118.7,100,0,0,0,3,23,0,0,
68,Josh Johnson,38,BAL,QB,2,0,,1,1,100,1,0,0,0,0,0,,1,1,1,1,0.5,79.2,0.7,0,0,0,1,1,0,0,
69,Tutu Atwell,25,LAR,WR,7,4,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,1.9,0,0,0,0,0,0,0,
70,Ty Chandler,26,MIN,RB,7,0,,0,0,,0,0,,0,,0,,,,,,0,,1.4,1,1,100,-1,-1,0,0,
71,Johnny Hekker,34,CAR,P,8,0,,0,2,0,0,0,0,0,0,0,,,0,0,,0,39.6,,0,0,0,0,0,0,0,
72,Darnell Mooney,27,ATL,WR,8,8,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,4.2,0,0,0,0,0,0,0,
73,Malik Nabers,21,NYG,WR,6,5,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,2.8,0,0,0,0,0,0,0,
74,Kenny Pickett,26,PHI,QB,1,0,,0,1,0,0,0,0,0,0,0,,,0,0,,0,39.6,1.3,1,8,50,-4,-4,0,0,
75,Deebo Samuel,28,SFO,WR,7,7,,0,0,,0,0,,0,,0,,,,,,0,,,1,4,100,-4,-4,0,0,
