Date,Cmp,Att,Cmp%,Yds,TD,TD%,Int,RAtt,RYds,RTD
10/27/2024,14,22,63.6,196,0,0,1,1,-1,0
10/20/2024,24,33,72.7,220,3,9.1,2,0,0,0
10/13/2024,22,32,68.8,258,4,12.5,1,5,13,0
10/6/2024,15,26,57.7,224,2,7.7,1,3,10,0
9/29/2024,32,54,59.3,389,4,7.4,3,1,6,0
9/6/2024,17,34,50,260,2,5.9,1,0,0,0
,,,,,,,,,,
